ID,RA,DEC,X,Y,Z,MASS,SFR
13542,53.2061768,-27.7897472,4772.18,11919.5,0.344,7.56,0.0036
13518,53.2056541,-27.7898369,4800.08,11914.2,3.702,9.06,4.571
13571,53.2054482,-27.7906303,4810.94,11866.5,0.112,7.79,0.0468
13562,53.2050743,-27.7893543,4830.7,11943.1,1.611,8.19,0.4898
30951,53.2046852,-27.7915459,4851.45,11811.6,1.875,8.16,0.1072
30992,53.2045708,-27.7904644,4857.54,11876.5,1.745,8.29,0.2042
30944,53.2038651,-27.7916965,4895.1,11802.7,3.732,8.44,0.7943
13593,53.2034264,-27.7894478,4918.14,11937.6,2.478,9,1.905
30945,53.2030449,-27.7916908,4938.71,11803,1.822,7.88,0.1698
13925,53.2027588,-27.7870407,4953.54,12082,2.73,8.79,1.38
13230,53.2027321,-27.7923641,4955.25,11762.6,0.405,7.89,0.0269
30975,53.2027092,-27.7908535,4956.27,11853.3,0.336,6.71,0.0017
31014,53.2024117,-27.7897568,4972.13,11919.1,1.405,8.01,0.1259
13564,53.2022552,-27.7903614,4980.51,11882.8,0.398,8.23,0.1072
13937,53.2019081,-27.7887955,4998.78,11976.8,0.474,9.72,0.5248
13818,53.2018738,-27.7877998,5000.71,12036.5,1.97,8.67,0.2138
13918,53.2017937,-27.7871017,5004.8,12078.4,0.988,7.55,0.3162
31153,53.2016373,-27.7860184,5012.97,12143.4,2.617,8.73,0.3981
14213,53.2014427,-27.7857418,5023.42,12160,2.776,9.34,3.236
30963,53.201416,-27.7912331,5024.96,11830.5,1.803,8.04,0.4467
12995,53.2014008,-27.7941513,5026.05,11655.4,0.229,7.57,0.0162
13811,53.201149,-27.7881451,5039.04,12015.8,2.674,9.39,8.71
31146,53.2010727,-27.7862225,5043.13,12131.2,2.611,8.31,0.302
13565,53.2008553,-27.7900352,5054.71,11902.4,1.333,9.2,0.3548
13605,53.2006378,-27.7891579,5066.23,11955,1.985,8.59,0.7079
13765,53.200592,-27.7881355,5068.65,12016.4,2.253,8.58,0.302
13178,53.2005768,-27.7922573,5069.73,11769,0.131,6.73,0.0001
13797,53.2003708,-27.7898445,5080.39,11913.9,0.528,10.58,0.0257
31105,53.2003288,-27.7872696,5082.52,12068.3,2.272,8.2,0.0955
13001,53.2002411,-27.7937469,5087.49,11679.7,0.334,7.85,0.0851
13270,53.1999893,-27.7918053,5100.74,11796.2,3.374,9.6,5.888
13684,53.1996841,-27.7889252,5116.94,11969,2.388,9.1,1.23
13986,53.1993828,-27.7869263,5132.71,12088.9,1.061,9.02,0.2291
12699,53.1993599,-27.7956104,5134.42,11567.9,1.603,9.23,2.512
14104,53.1988297,-27.7860622,5162.14,12140.9,2.661,8.73,0.631
30969,53.1987457,-27.7910099,5166.72,11844.1,2.108,8.48,0.1072
13048,53.1986008,-27.7933483,5174.64,11703.6,1.901,9.14,1.38
12774,53.1985512,-27.7950306,5177.32,11602.7,2.102,8.83,1.698
31011,53.1984482,-27.7897987,5182.41,11916.7,2.122,8.3,0.1622
14374,53.1984329,-27.7848721,5183.07,12212.2,0.441,8.7,0.005
13844,53.1983299,-27.7878151,5188.77,12035.7,0.862,8.28,0.0832
13608,53.198288,-27.789156,5191,11955.3,3.546,9.48,2.291
12661,53.197998,-27.7967567,5206.6,11499.2,0.435,8.79,0.3981
12649,53.197773,-27.7957458,5218.63,11559.9,0.128,6.42,0.0003
13784,53.1976509,-27.7880478,5224.71,12021.8,2.551,8.6,1.259
14246,53.1975822,-27.7863941,5228.35,12120.9,1.138,10.08,38.9
13447,53.1974182,-27.7906055,5237.15,11868.3,4.279,9.64,38.02
13745,53.1972618,-27.788538,5245.38,11992.4,0.236,7.24,0.0039
31178,53.1971626,-27.7852745,5250.64,12188.2,2.098,7.83,0.4571
13635,53.1970673,-27.7889614,5255.67,11966.9,1.938,8.52,0.2399
12490,53.1970711,-27.7970848,5255.83,11479.6,1.347,8.23,0.1995
30805,53.1970711,-27.7959232,5255.88,11549.3,0.393,6.73,0.0012
13815,53.1969376,-27.7878284,5262.56,12034.9,2.14,8.58,0.4169
13733,53.1968765,-27.7884884,5265.96,11995.4,1,8.35,0.2692
12632,53.1968575,-27.7963371,5267.16,11524.4,1.382,9.04,1.995
12424,53.1968307,-27.7975121,5268.55,11453.9,0.866,7.55,0.0708
14371,53.1967468,-27.7847462,5272.62,12219.8,2.946,9.28,3.467
31043,53.1965866,-27.7888012,5281.21,11976.6,0.693,7.14,0.0251
13609,53.1965866,-27.7891541,5281.33,11955.4,0.795,7.23,0.0933
14056,53.1965599,-27.7863102,5282.63,12126,2.513,8.56,1.259
13255,53.1965408,-27.7918434,5283.8,11794.1,2.696,8.8,3.09
13253,53.1964684,-27.7920418,5287.75,11782.2,1.011,8.36,0.1738
14798,53.1963959,-27.7820816,5291.09,12379.7,0.517,7.78,0.0209
13418,53.1963882,-27.790472,5291.79,11876.3,1.107,8.32,0.0891
13053,53.1963501,-27.7932053,5294.04,11712.4,1.751,8.94,1.585
13693,53.1963425,-27.7886906,5294.2,11983.2,1.89,8.18,0.2692
30813,53.1961174,-27.7957973,5306.5,11556.8,1.909,8.5,0.0537
14136,53.1959381,-27.7864132,5315.52,12119.8,0.54,8.24,0.0741
12936,53.1958389,-27.7938976,5321.16,11670.8,3.214,8.91,0.9333
13237,53.1958008,-27.7919788,5323.13,11785.9,2.8,8.83,4.786
14674,53.1957359,-27.7827129,5326.27,12341.9,3.285,9.3,5.495
13260,53.1956749,-27.7917976,5329.79,11796.9,0.228,6.89,0.0008
13976,53.1956444,-27.7877769,5331.19,12038,0.224,7.96,0.3311
30834,53.1955872,-27.7950783,5334.48,11600,2.758,8.1,0.8511
14504,53.1955376,-27.7837372,5336.71,12280.4,1.143,8.23,0.4467
30865,53.1955338,-27.7941952,5337.38,11653,3.177,8.72,0.7586
14870,53.1953163,-27.7816467,5348.36,12405.9,0.297,7.24,0.0039
14253,53.1952667,-27.7852325,5351.22,12190.7,2.346,8.45,1
13926,53.1952209,-27.787159,5353.68,12075.2,1.645,8.77,1.047
30831,53.1951942,-27.7952709,5355.5,11588.5,2.707,8.66,0.2188
14920,53.1951752,-27.7811737,5355.95,12434.2,1.931,8.3,0.7943
30877,53.1950989,-27.7939072,5360.52,11670.2,2.56,8.2,0.1905
30835,53.1950607,-27.7950649,5362.49,11600.9,2.379,8.02,0.2138
13934,53.1949501,-27.7870445,5367.97,12082,3.803,9.59,7.08
13686,53.194912,-27.7887287,5370.14,11980.9,0.292,6.91,0.0051
13302,53.1948967,-27.7915287,5371.13,11813,1.965,8.76,1.698
13946,53.1947098,-27.7870293,5380.87,12082.9,0.835,8.17,0.3802
30981,53.1946526,-27.7906075,5384.09,11868.3,0.555,7.17,0.0174
31200,53.1946106,-27.7849503,5386.13,12207.7,2.431,7.84,0.2951
14550,53.1939278,-27.785799,5422.36,12156.8,0.113,8.71,0.0759
31349,53.1938858,-27.7813225,5424.39,12425.4,2.369,8.31,0.3715
13159,53.1938667,-27.7932949,5425.92,11707.1,0.672,9.36,1.738
12601,53.1937904,-27.7962704,5429.86,11528.5,1.355,8.69,0.8913
13923,53.1937408,-27.7878704,5432.4,12032.6,0.467,8.24,0.0759
13429,53.1936798,-27.7908897,5435.61,11851.4,0.497,8.48,0.1318
12666,53.1936722,-27.7956467,5436.27,11565.9,0.629,7.56,0.0275
