col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
1,189.284,62.20434,0.59,22.22,36.1,0.0,0.97,2.87,0.21,9.44,0.17,-19.83,0.56,-22.76,0.64,67.55,10.02,29.92,9.36,0.11,9.8,0.11
2,189.34309,62.19603,0.53,21.97,81.3,0.73,0.96,5.26,0.19,9.11,0.14,-19.76,0.48,-22.41,0.54,66.07,6.31,16.26,9.6,0.07,9.92,0.07
3,189.3252,62.21347,0.91,22.17,36.7,0.02,0.96,10.73,0.54,10.77,0.03,-20.82,0.1,-24.97,0.1,227.47,39.66,10.26,10.99,0.13,11.15,0.13
4,189.3838,62.21298,1.02,21.22,76.4,0.02,0.79,13.84,0.24,11.4,0.12,-22.17,0.36,-26.23,0.43,260.36,51.88,12.74,11.21,0.14,11.38,0.14
5,189.3316,62.21571,0.91,22.47,54.3,0.0,0.86,3.64,0.23,10.41,0.04,-20.66,0.13,-24.62,0.13,129.87,69.84,34.05,10.03,0.63,10.36,0.63
6,189.40388,62.24261,0.63,21.39,66.0,0.09,0.93,8.31,0.21,9.95,0.18,-20.64,0.57,-23.49,0.65,99.18,6.13,13.82,10.15,0.04,10.39,0.04
7,189.44249,62.24466,0.64,21.49,72.3,0.04,0.84,3.33,0.21,10.31,0.06,-20.55,0.12,-24.38,0.15,175.47,14.38,33.86,10.25,0.06,10.53,0.06
8,189.3071,62.25322,0.52,21.03,43.8,0.0,0.88,4.24,0.19,10.29,0.06,-20.29,0.18,-24.13,0.21,181.54,29.76,28.62,10.39,0.12,10.64,0.12
9,189.3358,62.27498,0.84,21.59,72.2,0.03,0.88,8.22,0.23,10.05,0.18,-21.28,0.58,-24.09,0.65,168.61,4.61,18.26,10.61,0.02,10.82,0.02
10,189.213,62.17534,0.41,19.94,36.1,0.18,0.56,4.04,0.16,10.59,0.06,-20.46,0.18,-24.7,0.22,170.26,10.68,27.67,10.31,0.04,10.57,0.04
11,189.17271,62.18101,0.94,22.47,73.5,0.12,0.96,5.48,0.24,10.34,0.06,-20.65,0.19,-23.74,0.2,171.56,43.62,20.06,10.45,0.2,10.67,0.2
12,189.22171,62.18809,0.94,21.27,73.4,0.22,0.64,7.96,0.24,10.86,0.05,-21.72,0.16,-25.64,0.19,228.84,34.51,21.64,10.86,0.11,11.07,0.11
13,189.29829,62.19079,0.41,21.81,26.2,0.06,0.84,5.63,0.37,9.3,0.1,-19.01,0.33,-21.57,0.37,86.23,4.7,20.2,9.86,0.05,10.17,0.05
14,189.27409,62.25708,0.5,21.86,58.9,0.04,0.76,5.83,0.18,9.59,0.09,-19.51,0.28,-22.4,0.32,116.64,17.25,23.41,10.14,0.1,10.42,0.1
15,189.06029,62.12189,0.97,21.25,79.7,0.15,0.5,10.87,0.24,11.05,0.03,-22.24,0.11,-25.2,0.12,236.1,9.21,14.03,11.02,0.03,11.2,0.03
16,189.1537,62.12651,1.0,22.1,79.0,0.0,0.61,6.6,0.24,10.2,0.19,-21.9,0.64,-24.8,0.73,169.74,65.96,26.13,10.52,0.35,10.77,0.35
17,189.05609,62.15308,0.41,20.59,64.9,0.02,0.8,5.99,0.2,10.01,0.06,-20.21,0.2,-23.2,0.23,120.14,8.35,19.79,10.18,0.05,10.44,0.05
